"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/31/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","6","12"
"02/01/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","9","15"
"02/02/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","9","23"
"02/03/2022","35","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","30","11","35"
"02/04/2022","41","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","33","16","41"
"02/05/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","5","21"
"02/06/2022","43","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","30","12","43"
"02/07/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","17","33"
"02/08/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","8","20"
"02/09/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","15","18"
"02/10/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","11","26"
"02/11/2022","41","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","31","12","41"
"02/12/2022","53","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","28","11","53"
"02/13/2022","52","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","28","13","52"
"02/14/2022","31","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","31","12","31"
"02/15/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","7","11"
"02/16/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","12","15"
"02/17/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","12","15"
"02/18/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","11","17"
"02/19/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","24","14"
"02/20/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","3","14"
"02/21/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","11","9"
"02/22/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","13","18"
"02/23/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","9","25"
"02/24/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","10","23"
"02/25/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","11","36"
